"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"197172782621143042","197171515601588224","608723","","","2012-05-01 03:57:09 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@jeb @jkottke no way. The shows would collectively have to get ~35 points or a 60+% share. Even w/ no overlap, that's four 8-shares. Absurd."
"197162824382951425","","","","","2012-05-01 03:17:35 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","One fun side effect of writing about how tech blogs suck is that my post doesn't get aggregated onto their sites. Heh."
"197162560590589953","197162453560340480","2426","","","2012-05-01 03:16:32 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@Mike_FTW to be fair, @sacca *is* rich."
"197075680645758976","197075311953854466","34412918","","","2012-04-30 21:31:18 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@mlkshk YOOOOO THAT AIN'T RIGHT"
"197075375602413568","","","196994397085253633","817113","2012-04-30 21:30:05 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @jsmooth995: New video, looking past the news cycle on Trayvon Martin http://t.co/t6wUIF0c","http://www.youtube.com/watch?v=hLEAwbef8-g"
"197073652930445312","197067157245394944","586","","","2012-04-30 21:23:14 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@sacca arrange to buy it, organize a flash mob of Internet Justice Goons to join you, call the cops on yourself. Voila!"
"197066380615495680","","","","","2012-04-30 20:54:21 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","Really pleased with comments on today's tech trade press piece - @blam @pkafka @rafat @davepell @dannysullivan &amp; more: http://t.co/AW1iGZtg","http://2.dashes.com/Jx7X85"
"197047618600308736","","","197046327757119489","9076822","2012-04-30 19:39:47 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @mixel: A mixel by @djacobs has been selected for a gallery exhibition of 'Bacon and Beer Art'! Check it out: http://t.co/TNaQ0pZB","http://ow.ly/aC1oA"
"197043038164492288","197041702291243008","36282042","","","2012-04-30 19:21:35 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@RichJuz Don't Listen to the Shit My Bitch Who Was Late For The Wedding Says To A Fifth Grader?"
"197035969285857282","197034088950009857","14120215","","","2012-04-30 18:53:30 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@kottke @careyjones @jkottke YOU FORGOT GRAND SICHUAN!"
"197031187942875136","197031021554831360","39348858","","","2012-04-30 18:34:30 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@tarquinc hah, whoops! Thanks, will fix."
"197030657019478018","197030514094387200","648523","","","2012-04-30 18:32:23 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@adampash @cjoh can't take pics; both my hands are occupied."
"197030120698028032","197029862651858944","648523","","","2012-04-30 18:30:16 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@adampash @cjoh I generally like to use both the Magic Mouse + Magic Touchpad in combo, sometimes one in each hand."
"197029861242576897","197029652328497153","15823784","","","2012-04-30 18:29:14 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@ryanlawler maybe some of it is that i'm an old guy, but I have to think even new bloggers have beats they are experts on."
"197028597599440896","197028375087419392","11666142","","","2012-04-30 18:24:12 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","@joshuatopolsky well i'm not speaking to factual errors, though. I'm focused specifically on a lack of historical perspective."
